term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno URI	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	term syriaca-headword.de	term syriaca-headword.fr	term syriaca-headword.grc	gloss.grc	term syriaca-headword.la	gloss.la	term syriaca-headword.ru	term syriaca-headword.swe	gloss.swe	term syriaca-headword.syr	gloss.syr	term syriaca-headword.tru	gloss.tru	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Durekta		CBSC	durekta	durekta																																					http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Dutch language		CBSC	Dutch	dutch-language	http://id.loc.gov/authorities/subjects/sh85040106		ISO 639-1: nl	Nederlandic language	Flemish language																																						http://syriaca.org/keyword/language																									
Dyers		new		dyers				fabric dyers	wool dyers																																														http://syriaca.org/keyword/occupations																	
Dynasties	category	category		dynasties	http://id.loc.gov/authorities/subjects/sh85115587			royal houses	royal families	royality																		http://syriaca.org/keyword/administration																																												
Eagles		CBSC	eagle	eagles	http://id.loc.gov/authorities/subjects/sh85040377																								http://syriaca.org/keyword/animals																																											
Earthquakes		CBSC	earthquake	earthquakes	http://id.loc.gov/authorities/subjects/sh85040496																																	http://syriaca.org/keyword/events																																		
Easter		CBSC	Easter	easter	http://id.loc.gov/authorities/subjects/sh85040586																										http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events													http://syriaca.org/keyword/liturgy														http://syriaca.org/keyword/time							
Ebionites		CBSC	Ebionites	ebionites	http://id.loc.gov/authorities/subjects/sh85040649																										http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions			http://syriaca.org/keyword/judaism																										
Ecclesiology		CBSC	ecclesiology	ecclesiology	http://id.loc.gov/authorities/subjects/sh85025502			church	ecclesiastical																						http://syriaca.org/keyword/christianity																																									
Ecology		CBSC	ecology	ecology	http://id.loc.gov/authorities/subjects/sh85040752			ecological	balance of nature																														http://syriaca.org/keyword/fields-of-study																																	
Economics	category	CBSC	economics	economics	http://id.loc.gov/authorities/subjects/sh85040850			economy																																																																
Ecumenism		CBSC	ecumenism	ecumenism	http://id.loc.gov/authorities/subjects/sh85025209			church unity	union between churches																																																		http://syriaca.org/keyword/religion													
Edessan martyrs		CBSC	Edessan martyrs	edessan-martyrs																																																				http://syriaca.org/keyword/persons																
Education	category	CBSC	education	education	http://id.loc.gov/authorities/subjects/sh85040989			pedagogy	schooling																														http://syriaca.org/keyword/fields-of-study																																	
Elchasaites		CBSC	Elchasaites	elchasaites																											http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions			http://syriaca.org/keyword/judaism																										
Elements		CBSC	elements	elements																																																		http://syriaca.org/keyword/objects																		
Ellata		CBSC	ellata	ellata																																					http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																			x	Syriaca.org equivalent = Cause and Syriac Text		
Emotions		CBSC	emotions	emotions	http://id.loc.gov/authorities/subjects/sh85042818			feelings	passions																		Used for a broad range of emotional states positive and negative																									http://syriaca.org/keyword/mental-states																				
Emperors		CBSC	emperor	emperors	http://id.loc.gov/authorities/subjects/sh85042835																							http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Encomiums		CBSC	encomium	encomiums	http://id.loc.gov/authorities/subjects/sh85075030			epideictic poetry	eulogistic poetry	panegyrics	praise poems																														http://syriaca.org/keyword/genres																															
Encratism		CBSC	Encratism	encratism																											http://syriaca.org/keyword/christianity																																									
English language		new		english-language	http://id.loc.gov/authorities/subjects/sh85043413		ISO 639-1: en																																																																	
English translation		CBSC	English translation	english-translation																																																														http://syriaca.org/keyword/translation						
Engravers		new		engravers	http://id.loc.gov/authorities/subjects/sh85043993			carvers										caelator																																					http://syriaca.org/keyword/occupations																	
Ephrem [influence]		CBSC	Ephrem [influence]	ephrem-influence																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana		CBSC	Ephremiana	ephremiana																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Arabic]		CBSC	Ephremiana [Arabic]	ephremiana-arabic																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Armenian]		CBSC	Ephremiana [Armenian]	ephremiana-armenian																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Coptic]		CBSC	Ephremiana [Coptic]	ephremiana-coptic																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Georgian]		CBSC	Ephremiana [Georgian]	ephremiana-georgian																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Greek]		CBSC	Ephremiana [Greek]	ephremiana-greek																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Latin]		CBSC	Ephremiana [Latin]	ephremiana-latin																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Slavonic]		CBSC	Ephremiana [Slavonic]	ephremiana-slavonic																																								http://syriaca.org/keyword/intertextuality																												
Ephremiana [Syriac]		CBSC	Ephremiana [Syriac]	ephremiana-syriac																																								http://syriaca.org/keyword/intertextuality																												
Epiclesis		CBSC	epiclese	epiclesis	http://id.loc.gov/authorities/subjects/sh85044364			epiclese	epiklesis																						http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy																					
Epicureanism		CBSC	Epicureanism	epicureanism	http://id.loc.gov/authorities/subjects/sh96001809																																					http://syriaca.org/keyword/ideology																														
Epigraphics		CBSC	epigraphics	epigraphics	http://id.loc.gov/authorities/subjects/sh85066566			epigraphy	epigraphs	inscriptions																													http://syriaca.org/keyword/fields-of-study																													http://syriaca.org/keyword/writing				
Epiphany		CBSC	Epiphany	epiphany	http://id.loc.gov/authorities/subjects/sh85044425																										http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events													http://syriaca.org/keyword/liturgy														http://syriaca.org/keyword/time							
Epistolography		CBSC	epistolography	epistolography																																			http://syriaca.org/keyword/fields-of-study																															Used for studies on epistles and epistle writing		
Epitaphs		CBSC	epitaph	epitaphs	http://id.loc.gov/authorities/subjects/sh85044460																																																	http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Eschatology		CBSC	eschatology	eschatology	http://id.loc.gov/authorities/subjects/sh85044785			last things																															http://syriaca.org/keyword/fields-of-study																				http://syriaca.org/keyword/religion													
Estrangelo script		CBSC	Estrangelo script	estrangelo-script																																													http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Ethics	category	CBSC	ethics	ethics	http://id.loc.gov/authorities/subjects/sh85045096			moral philosophy	morality																														http://syriaca.org/keyword/fields-of-study																																	
Ethnicity	category	CBSC	ethnicity	ethnicity	http://id.loc.gov/authorities/subjects/sh85045187			ethnic identity																																																																
Ethnography		CBSC	ethnography	ethnography	http://id.loc.gov/authorities/subjects/sh85045198			social anthropology																								http://syriaca.org/keyword/culture					http://syriaca.org/keyword/ethnicity		http://syriaca.org/keyword/fields-of-study																																	
Ethnonyms		CBSC	ethnonyms	ethnonyms	http://id.loc.gov/authorities/subjects/sh85089604			ethnic group names	ethnological names	names of peoples	tribal names																										http://syriaca.org/keyword/ethnicity																																			
Eucharist		CBSC	Eucharist	eucharist	http://id.loc.gov/authorities/subjects/sh85078354			holy Communion	lord's Supper	sacrament of the altar																					http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual												
Eulogia		CBSC	eulogia	eulogia	http://id.loc.gov/authorities/subjects/sh85045556			eulogies																																																				http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Events	category	category		events																																																																				
Evil		CBSC	evil	evil																																http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion											LOC = "Good and Evil" but no simple "evil" http://id.loc.gov/authorities/subjects/sh85055872		
Executioners		new		executioners				hangmen	hangman	headsmen	headsman																																												http://syriaca.org/keyword/occupations																	
Exegesis		CBSC	exegesis	exegesis	http://id.loc.gov/authorities/subjects/sh85013597			biblical interpretation	biblical commentaries																														http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																															
Exile		SPEAR	exile	exile	http://id.loc.gov/authorities/subjects/sh93005717			banishment	deportation as punishment	ostracism																		http://syriaca.org/keyword/administration																				http://syriaca.org/keyword/law																								
Exorcism		CBSC	exorcism	exorcism	http://id.loc.gov/authorities/subjects/sh85046394			expulsion of evil spirits																																																			http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual				http://syriaca.org/keyword/techne								
Extreme unction		CBSC	extreme unction	extreme-unction	http://id.loc.gov/authorities/subjects/sh85046598			last rites																							http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual												
Eyes		CBSC	eyes	eyes	http://id.loc.gov/authorities/subjects/sh85046642																																																	http://syriaca.org/keyword/objects																		
Fables		CBSC	fables	fables	http://id.loc.gov/authorities/subjects/sh85046739																																				http://syriaca.org/keyword/genres																															
Fairy tales		CBSC	fairy tales	fairy-tales	http://id.loc.gov/authorities/subjects/sh85046925																																				http://syriaca.org/keyword/genres																															
Faith		CBSC	faith	faith	http://id.loc.gov/authorities/subjects/sh85046928			religious belief	theological belief																																	http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Fall		CBSC	fall	fall	http://id.loc.gov/authorities/subjects/sh85046970																						Used for the theological concept of a fall from a previous state including but not limited to those of Adam, Eve, and Satan.				http://syriaca.org/keyword/christianity					http://syriaca.org/keyword/ethics		http://syriaca.org/keyword/events																																		
Falsification		CBSC	falsification	falsification	http://id.loc.gov/authorities/subjects/sh85050757			forgery																														http://syriaca.org/keyword/events																										http://syriaca.org/keyword/techne								
Families		CBSC	family	families	http://id.loc.gov/authorities/subjects/sh85047009			family	household																																		http://syriaca.org/keyword/institutions																													
Farmers		new		farmers				agricultural worker																																															http://syriaca.org/keyword/occupations																	
Fasting		CBSC	fast	fasting	http://id.loc.gov/authorities/subjects/sh85047403			abstinence from food																												http://syriaca.org/keyword/ethics		http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual										LOC only has "Fasts and Feasts" but no simple "fasts" or "feasts" http://id.loc.gov/authorities/subjects/sh85047412		
Fathers		CBSC	father	fathers																							Used of male parents biologically or metaphorically speaking.																													http://syriaca.org/keyword/persons														Used in both biological and figurative senses, i.e. ritual, fictive, and metahorical fatherhood		
Feasts		CBSC	feasts	feasts																																		http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual										LOC only has "Fasts and Feasts" but no simple "fasts" or "feasts" http://id.loc.gov/authorities/subjects/sh85047412		
Fellichi		CBSC	Fellichi	fellichi																																														http://syriaca.org/keyword/literature																						
Feminine		CBSC	feminine	feminine																																				http://syriaca.org/keyword/gender																													x	If we have "feminine", we ought to have "masculine".		
Fields of Study	category	category		fields-of-study																																																																				
Fire		CBSC	fire	fire	http://id.loc.gov/authorities/subjects/sh85048572			fires																														http://syriaca.org/keyword/events																http://syriaca.org/keyword/objects																		
Fish		CBSC	fish	fish	http://id.loc.gov/authorities/subjects/sh85048726			fishes																					http://syriaca.org/keyword/animals																																											
Fishers		new		fishers				fisherman	fishermen																																														http://syriaca.org/keyword/occupations																	
Fishmongers		new		fishmongers				purveyor of fish	fish seller																																														http://syriaca.org/keyword/occupations																	
Flood		CBSC	Flood	flood	http://id.loc.gov/authorities/subjects/sh85049168			flooding	deluge	inundation																												http://syriaca.org/keyword/events																																		
Florilegium		CBSC	florilegium	florilegium																																								http://syriaca.org/keyword/intertextuality						http://syriaca.org/keyword/literature																						
Folklore		CBSC	folklore	folklore	http://id.loc.gov/authorities/subjects/sh85050104			folk beliefs	folk-lore	traditions																													http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																															
Food		CBSC	food	food	http://id.loc.gov/authorities/subjects/sh85050184			foods																										http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Free will		CBSC	free will, freedom	free-will	http://id.loc.gov/authorities/subjects/sh85051686																																					http://syriaca.org/keyword/ideology										http://syriaca.org/keyword/mental-states																				
Freedom of speech		new		freedom-of-speech				parrhesia								παρρησία																																http://syriaca.org/keyword/law															http://syriaca.org/keyword/speech-acts						x	I think this refers specifically to the idea of parrhesia, but confirm.		
French language		fr		french-language	http://id.loc.gov/authorities/subjects/sh85051829		ISO 639-1: fr																																																																	
Frescoes		CBSC	frescoes	frescoes	http://id.loc.gov/authorities/subjects/sh85051829			wall-painting	painted walls	painted ceilings																				http://syriaca.org/keyword/art																								http://syriaca.org/keyword/objects																		
Friday		CBSC	Friday	friday																																																													http://syriaca.org/keyword/time							
Frontiers		CBSC	frontier, limes	frontiers	http://id.loc.gov/authorities/subjects/sh2006001296			borderland	borderlands	border-lands	border region	border regions																																													http://syriaca.org/keyword/places															
Fullers		new		fullers				wool worker	wool cleaner									fullo																																					http://syriaca.org/keyword/occupations																	
Funeral workers		new		funeral-workers				pall bearers	grave diggers																																														http://syriaca.org/keyword/occupations																	
Furriers		new		furriers				fur workers	pelt workers																																														http://syriaca.org/keyword/occupations																	
Garden of Eden		CBSC	garden	garden-of-eden				the garden	paradise																						http://syriaca.org/keyword/christianity															http://syriaca.org/keyword/judaism											http://syriaca.org/keyword/places															
Gardeners		new	garden	gardeners																																																			http://syriaca.org/keyword/occupations																	
Garments of light		CBSC	garments of light	garments-of-light																																																		http://syriaca.org/keyword/objects																		
Geez language		CBSC	Geez	geez-language	http://id.loc.gov/authorities/subjects/sh85045159		ISO 639-2: gez	ethiopic language																																							http://syriaca.org/keyword/language																									
Gehenna		CBSC	Gehenna	gehenna																																																					http://syriaca.org/keyword/places															
Gems		CBSC	gems	gems	http://id.loc.gov/authorities/subjects/sh85053712			jewels																																														http://syriaca.org/keyword/objects																		
Gender	category	CBSC	gender	gender																																																																				
Genealogy		CBSC	genealogies	genealogy	http://id.loc.gov/authorities/subjects/sh85053742			genealogies	ancestry	descent	family history	family trees																																						http://syriaca.org/keyword/literature																						
General		CBSC	general	general																							A genre used to describe works that deal with a broad range of topics.														http://syriaca.org/keyword/genres																															
Generals		new	general	generals				military commanders																																															http://syriaca.org/keyword/occupations																	
Genocide		CBSC	genocide	genocide	http://id.loc.gov/authorities/subjects/sh85053923			ethnic cleansing	ethnocide																											http://syriaca.org/keyword/ethics		http://syriaca.org/keyword/events																																		
Genres	category	category		genres	http://id.loc.gov/authorities/subjects/sh85077490			literary forms	literary types	literary genetics																																								http://syriaca.org/keyword/literature																						
Geography		CBSC	geography	geography	http://id.loc.gov/authorities/subjects/sh85053986																																		http://syriaca.org/keyword/fields-of-study																																	
Geometry		CBSC	geometry	geometry	http://id.loc.gov/authorities/subjects/sh85054133																														http://syriaca.org/keyword/education				http://syriaca.org/keyword/fields-of-study																																	
Georgian language		CBSC	Georgian	georgian-language	http://id.loc.gov/authorities/subjects/sh85054242		ISO 639-1: ka																																								http://syriaca.org/keyword/language																									
German language		CBSC		german-language	http://id.loc.gov/authorities/subjects/sh85054365		ISO 639-1: de																																																																	
German translation		CBSC	German translation	german-translation																																																														http://syriaca.org/keyword/translation						
Ghassanids		CBSC	Ghassanids	ghassanids	http://id.loc.gov/authorities/subjects/sh93007284																																http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Gladiators		new		gladiators														gladiator	gladiatores																																				http://syriaca.org/keyword/occupations																	
Glass		CBSC	glass	glass	http://id.loc.gov/authorities/subjects/sh85055102																																																	http://syriaca.org/keyword/objects																		
Glassmakers		new		glassmakers				glass workers	glass blowers																																														http://syriaca.org/keyword/occupations																	
Glory		CBSC	glory	glory	http://id.loc.gov/authorities/subjects/sh85055324																																																																			
Gnomologia		CBSC	gnomologia	gnomologia	http://id.loc.gov/authorities/subjects/sh85005966			aphorisms	apothegms	apophthegma	apophthegmata	sayings																																						http://syriaca.org/keyword/literature																						
Gnosticism		CBSC	Gnosticism	gnosticism	http://id.loc.gov/authorities/subjects/sh85055466																																		http://syriaca.org/keyword/fields-of-study																				http://syriaca.org/keyword/religion													
God's name		CBSC	God's name	god-s-name																																																							http://syriaca.org/keyword/religion													
Goddesses		CBSC	goddess	goddesses	http://id.loc.gov/authorities/subjects/sh85055594			female gods	deities	divinities	divine beings																																													http://syriaca.org/keyword/persons											http://syriaca.org/keyword/traditional-religions					
Gods		CBSC	gods	gods	http://id.loc.gov/authorities/subjects/sh85055608			male gods	deities	divinities	divine beings																																													http://syriaca.org/keyword/persons																
Golden Calf		CBSC	Golden Calf	golden-calf	http://id.loc.gov/authorities/subjects/sh85055746																																																	http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion													
Golden rule		CBSC	golden rule	golden-rule	http://id.loc.gov/authorities/subjects/sh85055762																															http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Goldsmiths		new		goldsmiths				gold workers																																															http://syriaca.org/keyword/occupations																	
Goths		CBSC	Goths	goths	http://id.loc.gov/authorities/subjects/sh85056000			Germanic peoples																													http://syriaca.org/keyword/ethnicity																																			
Governors		SPEAR		governors				Provincial governor								ἡγημών																																																								
Grace		CBSC	grace	grace	http://id.loc.gov/authorities/subjects/sh85056154																																																						http://syriaca.org/keyword/religion													
Grammar		CBSC	grammar	grammar	http://id.loc.gov/authorities/subjects/sh85056259																																												http://syriaca.org/keyword/linguistics																							
Grammar [native]		CBSC	grammar [native]	grammar-native	http://id.loc.gov/authorities/subjects/sh85056259																																												http://syriaca.org/keyword/linguistics																							
Grammarians		new		grammarians				teachers of grammar										grammaticus	grammatici																http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Greek culture		CBSC	Greek culture	greek-culture	http://id.loc.gov/authorities/subjects/sh85057040																											http://syriaca.org/keyword/culture																																								
Greek Fathers		CBSC	Greek Fathers	greek-fathers	http://id.loc.gov/authorities/subjects/sh87005633																										http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions													http://syriaca.org/keyword/persons																
Greek language, ancient		CBSC	Greek language	greek-language-ancient			ISO 639-2: grc																																								http://syriaca.org/keyword/language																									
Greek language, modern		CBSC	Greek language	greek-language-modern			ISO 639-1: el																																								http://syriaca.org/keyword/language																									
Greek literature		CBSC	Greek literature	greek-literature																																														http://syriaca.org/keyword/literature																						
Greek philosophy		CBSC	Greek philosophy	greek-philosophy	http://id.loc.gov/authorities/subjects/sh85100861																																																																			
Greek-Orthodox		CBSC	Greek-Orthodox	greek-orthodox	http://id.loc.gov/authorities/subjects/sh85095778			Greek church																							http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Hagiography		CBSC	hagiography	hagiography	http://id.loc.gov/authorities/subjects/sh85058266																																				http://syriaca.org/keyword/genres																															
Halakha		CBSC	halakha	halakha	http://id.loc.gov/authorities/subjects/sh85070287			Jewish law																				http://syriaca.org/keyword/administration													http://syriaca.org/keyword/genres					http://syriaca.org/keyword/judaism																										
Harps		CBSC	harp	harps	http://id.loc.gov/authorities/subjects/sh85058984																									http://syriaca.org/keyword/art																								http://syriaca.org/keyword/objects																		
Healing		CBSC	healing	healing	http://id.loc.gov/authorities/subjects/sh85059506			curing																														http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual				http://syriaca.org/keyword/techne								
Heart		CBSC	heart	heart				seat of the emotions																																														http://syriaca.org/keyword/objects																		
Heaven		CBSC	heaven	heaven	http://id.loc.gov/authorities/subjects/sh85059839			paradise	presence of God	eternity																																															http://syriaca.org/keyword/places															
Hebrew language		CBSC	Hebrew language	hebrew-language	http://id.loc.gov/authorities/subjects/sh85059867		ISO 639-2: heb																																								http://syriaca.org/keyword/language																									
Hell		CBSC	Hell	hell	http://id.loc.gov/authorities/subjects/sh85060058			eternal punishment	everlasting punishment	separation from God																																															http://syriaca.org/keyword/places															
Hellenism		CBSC	Hellenism	hellenism	http://id.loc.gov/authorities/subjects/sh85060062																																					http://syriaca.org/keyword/ideology																														
Heresiology		CBSC	heresiography	heresiology	http://id.loc.gov/authorities/subjects/sh85060383			heresiography																															http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres	http://syriaca.org/keyword/ideology																														
Hermeneutics		CBSC	hermeneutics	hermeneutics	http://id.loc.gov/authorities/subjects/sh85060402			method of interpretation																															http://syriaca.org/keyword/fields-of-study											http://syriaca.org/keyword/literature																						
Hermetism		CBSC	Hermetism	hermetism	http://id.loc.gov/authorities/subjects/sh85060409			hermeticism																																		http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Heterodoxy		CBSC	heterodoxy	heterodoxy																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Hijra		CBSC	Hijra	hijra	http://id.loc.gov/authorities/subjects/sh85088282			hijrah																														http://syriaca.org/keyword/events							http://syriaca.org/keyword/islam																				http://syriaca.org/keyword/time							
Hinduism		CBSC	Hinduism	hinduism	http://id.loc.gov/authorities/subjects/sh85060932																																																						http://syriaca.org/keyword/religion													
Historiography		CBSC	historiography	historiography	http://id.loc.gov/authorities/subjects/sh85061211			writing of history	historical criticism	philosophy of history																													http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																															
History		CBSC	history	history	http://id.loc.gov/authorities/subjects/sh85061212																																		http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																								http://syriaca.org/keyword/time							
Holy Cross		CBSC	Holy Cross	holy-cross	http://id.loc.gov/authorities/subjects/sh85061565			true cross																							http://syriaca.org/keyword/christianity																							http://syriaca.org/keyword/objects																		
Holy Land		CBSC	Holy Land	holy-land	http://id.loc.gov/authorities/subjects/sh85097163																																																				http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion										x	Is this a place or a subject? Should it have an entry in the Gazetteer or in the subject heading list?		
Holy places		CBSC	Holy Places	holy-places	http://id.loc.gov/authorities/subjects/sh88002572			sacred space	sacred sites																																																http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Homilies		CBSC	homilies, sermons	homilies	http://id.loc.gov/authorities/subjects/sh85120261																																				http://syriaca.org/keyword/genres										http://syriaca.org/keyword/liturgy																					
Honour		CBSC	honour	honour	http://id.loc.gov/authorities/subjects/sh85061884			honor																												http://syriaca.org/keyword/ethics																																				
Horses		CBSC	horse	horses	http://id.loc.gov/authorities/subjects/sh85062160																								http://syriaca.org/keyword/animals																																											
Hospitals		CBSC	hospital	hospitals	http://id.loc.gov/authorities/subjects/sh85062285			hostels																																																	http://syriaca.org/keyword/places															 
Hours		CBSC	hours	hours	http://id.loc.gov/authorities/subjects/sh85038591			liturgy of the hours	divine office																																										http://syriaca.org/keyword/liturgy														http://syriaca.org/keyword/time							
Houses		CBSC	house	houses	http://id.loc.gov/authorities/subjects/sh85040193			domiciles	homes	residences																																															http://syriaca.org/keyword/places															
Humility		CBSC	humility	humility	http://id.loc.gov/authorities/subjects/sh85062935			humbleness																												http://syriaca.org/keyword/ethics						http://syriaca.org/keyword/ideology																														
Humour		CBSC	humour	humour	http://id.loc.gov/authorities/subjects/sh2003003666			anecdotes	jokes	funny accounts																																http://syriaca.org/keyword/ideology								http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Huns		CBSC	Huns	huns	http://id.loc.gov/authorities/subjects/sh85063093																																http://syriaca.org/keyword/ethnicity																																			
Hunters		new		hunters				huntsmen	huntsman																																														http://syriaca.org/keyword/occupations																	
Hussaya		CBSC	Hussaya	hussaya																											http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual									x	absolution/pardon --NG		
Hymnography		CBSC	hymnography	hymnography	http://id.loc.gov/authorities/subjects/sh85063602																																		http://syriaca.org/keyword/fields-of-study																																	
I CE		CBSC	I CE	i-ce	http://id.loc.gov/authorities/subjects/sh85048582																																																												http://syriaca.org/keyword/time							
I-III CE		CBSC	I-III CE	i-iii-ce																																																													http://syriaca.org/keyword/time							
Iconoclasm		CBSC	iconoclasm	iconoclasm	http://id.loc.gov/authorities/subjects/sh85064080																																	http://syriaca.org/keyword/events				http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Iconography		CBSC	iconography	iconography	http://id.loc.gov/authorities/subjects/sh85025011			Christian art	sacred art																														http://syriaca.org/keyword/fields-of-study																																	
Icons		CBSC	icons	icons	http://id.loc.gov/authorities/subjects/sh85064083			eikons	ikons							εἰκών														http://syriaca.org/keyword/art	http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Identity		CBSC	identity	identity	http://id.loc.gov/authorities/childrensSubjects/sj98004244																											http://syriaca.org/keyword/culture																				http://syriaca.org/keyword/mental-states																				
Ideology	category	category		ideology	http://id.loc.gov/authorities/subjects/sh85064155			ideology	ideologies																																																															
Idolatry		CBSC	idolatry	idolatry	http://id.loc.gov/authorities/subjects/sh85064171																															http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
II CE		CBSC	II CE	ii-ce																																																													http://syriaca.org/keyword/time							
III CE		CBSC	III CE	iii-ce																																																													http://syriaca.org/keyword/time							
Ikhwan al-Safa (Brethern of Purity)		CBSC	Ikhwan al-Safa	ikhwan-al-safa-brethern-of-purity																																							http://syriaca.org/keyword/institutions		http://syriaca.org/keyword/islam																											
Illness		CBSC	illness	illness	http://id.loc.gov/authorities/subjects/sh85038411			sickness	diseases																													http://syriaca.org/keyword/events																																		
Illustrations		CBSC	illustrations	illustrations	http://id.loc.gov/authorities/subjects/sh99001953																									http://syriaca.org/keyword/art																																						http://syriaca.org/keyword/writing				
Images		CBSC	images	images																										http://syriaca.org/keyword/art																					http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion													
Imago Dei		CBSC	Imago Dei	imago-dei	http://id.loc.gov/authorities/subjects/sh85064443			image of God																							http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism																										
Incarnation		CBSC	Incarnation	incarnation	http://id.loc.gov/authorities/subjects/sh85064725																										http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Incense		CBSC	incense	incense	http://id.loc.gov/authorities/subjects/sh85064733																																														http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Incest		CBSC	incest	incest	http://id.loc.gov/authorities/subjects/sh85064740																																	http://syriaca.org/keyword/events																																		
Indian		CBSC	Indian	indian	http://id.loc.gov/authorities/subjects/sh85040566			Indic peoples																													http://syriaca.org/keyword/ethnicity																																			
Inheritance		CBSC	inheritance	inheritance	http://id.loc.gov/authorities/subjects/sh85066373																																	http://syriaca.org/keyword/events										http://syriaca.org/keyword/law																								
Ink		CBSC	ink	ink	http://id.loc.gov/authorities/subjects/sh85066453																																																	http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
